Location,Area,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,No additional rooms,Prayer Rooms,Lounge or Sitting Room,Price
Bah***,Category_0,*,-***,0.3862967441659628,-0.3088496380480382,-13.17828436755642,26.68652337836467,0.0820063635808573,0.02661257919162606,-0.16735272586235442,-0.16849881312178094,0.9001127573908398,0.027815552528189617,0.2529209332521737,Category_0
Al ***,Category_1,*,3***,0.45339370376031995,1.6049684548835408,27.541618937601406,3.857449144014561,0.7479997020872233,-0.6410966021570297,-0.9475306978317916,-0.5190945667191258,-0.2651440104631123,0.8225270106458086,0.7332275809216813,Category_1
Cen***,Category_2,*,3***,0.3598451734599666,0.3015991925455548,34.01027610348141,23.622361087609008,0.16005104171733814,-0.20871424139576505,0.0429745015432263,0.23994753231330748,0.8291203760001662,-0.29696879092303863,0.09174079649892286,Category_2
DHA***,Category_3,*,5***,1.3748921895600588,-0.949905909626807,9.599487847824918,-11.916672152857139,-0.9755298773587456,-0.03197767890707431,-0.007085646067170455,0.36841469324755777,0.49105825813598175,0.13241792399272037,-0.3397086898347146,Category_3
DHA***,Category_3,*,5***,0.930663167080714,1.152866004709149,32.94798408402968,17.8579418045941,0.9924831164556684,-0.005332216907542121,1.160079440771922,1.0424366507701928,0.04325254038000346,1.2055796261744922,0.04319185115395774,Category_4
DHA***,Category_4,*,5***,0.1231303035383643,1.2597829699849223,16.478436132931055,6.493159475133941,1.0063922682479571,0.2366438051790534,0.9995532831051848,1.3268116287736405,0.24145204372543574,0.6863054640093007,0.7612496099445596,Category_5
Kah***,Category_1,*,4***,0.9997543369908407,0.37067180647985065,17.43968936981652,8.864560867996389,1.4128916710374595,-0.05184516628798662,0.16718673972713471,0.26488725722328504,-0.09695817224839166,0.19604371132818135,-0.30398857875579466,Category_6
Kah***,Category_2,*,2***,1.7789254651140625,-0.05416654315777027,96.13236250371068,1.6762048874088247,0.7949406742702114,-0.007991097235459209,0.761980780742253,0.3994463957806309,-0.07528807012423426,-0.3162512748029232,-0.0384802285442887,Category_7
Ask***,Category_5,*,5***,1.3558837439030518,-0.8477493979283086,-30.531601519874837,17.9848535942511,1.2499123840032285,0.06246651151479696,1.3737832590234094,0.15363546565488057,-0.16090374236121954,-0.3835015249500049,0.923852352350234,Category_8
Val***,Category_4,*,6***,0.7639386948805639,0.5767206765303292,32.17626754128225,5.48758362876037,1.0124066275190402,-0.12189945174360495,0.8248168469136474,1.3445162357835923,0.00047554381246423796,0.3254217793590516,0.9690141379339752,Category_9
